model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,model_2008,displ_2008,cyl_2008,trans_2008,drive_2008,fuel_2008,veh_class_2008,air_pollut_2008,city_mpg_2008,hwy_mpg_2008,cmb_mpg_2008,greenhouse_2008,smartway_2008
,,,,,,,,,,,,,DODGE Caravan,3.3,6.0,Auto-L4,2WD,Gasoline,minivan,7.0,17.0,24.0,19.0,5.0,no
,,,,,,,,,,,,,DODGE Caravan,3.8,6.0,Auto-L6,2WD,Gasoline,minivan,7.0,16.0,23.0,18.0,5.0,no
,,,,,,,,,,,,,DODGE Caravan,4.0,6.0,Auto-L6,2WD,Gasoline,minivan,7.0,16.0,23.0,18.0,5.0,no
,,,,,,,,,,,,,DODGE Challenger,6.1,8.0,Auto-L5,2WD,Gasoline,midsize car,6.0,13.0,18.0,15.0,3.0,no
,,,,,,,,,,,,,DODGE Charger,3.5,6.0,Auto-L5,4WD,Gasoline,large car,7.0,15.0,22.0,18.0,5.0,no
,,,,,,,,,,,,,DODGE Charger,3.5,6.0,Auto-L5,2WD,Gasoline,large car,7.0,17.0,24.0,20.0,6.0,yes
,,,,,,,,,,,,,DODGE Charger,3.5,6.0,Auto-L4,2WD,Gasoline,large car,7.0,17.0,24.0,20.0,6.0,yes
,,,,,,,,,,,,,DODGE Charger,2.7,6.0,Auto-L4,2WD,Gasoline,large car,6.0,18.0,26.0,21.0,6.0,no
,,,,,,,,,,,,,DODGE Charger,6.1,8.0,Auto-L5,2WD,Gasoline,large car,6.0,13.0,18.0,15.0,3.0,no
,,,,,,,,,,,,,DODGE Dakota,3.7,6.0,Auto-L4,2WD,Gasoline,pickup,7.0,15.0,20.0,17.0,4.0,no
,,,,,,,,,,,,,DODGE Dakota,3.7,6.0,Auto-L4,4WD,Gasoline,pickup,7.0,14.0,18.0,15.0,3.0,no
,,,,,,,,,,,,,DODGE Dakota,4.7,8.0,Auto-L5,2WD,Gasoline,pickup,7.0,14.0,19.0,15.0,3.0,no
,,,,,,,,,,,,,DODGE Dakota,4.7,8.0,Auto-L5,4WD,Gasoline,pickup,7.0,14.0,19.0,15.0,3.0,no
,,,,,,,,,,,,,DODGE Dakota,3.7,6.0,Auto-L4,2WD,Gasoline,pickup,6.0,15.0,20.0,17.0,4.0,no
,,,,,,,,,,,,,DODGE Dakota,3.7,6.0,Man-6,2WD,Gasoline,pickup,6.0,16.0,20.0,18.0,5.0,no
,,,,,,,,,,,,,DODGE Dakota,3.7,6.0,Auto-L4,4WD,Gasoline,pickup,6.0,14.0,18.0,15.0,3.0,no
,,,,,,,,,,,,,DODGE Dakota,3.7,6.0,Man-6,4WD,Gasoline,pickup,6.0,15.0,19.0,16.0,4.0,no
,,,,,,,,,,,,,DODGE Durango,3.7,6.0,Auto-L4,2WD,Gasoline,SUV,7.0,14.0,19.0,16.0,4.0,no
,,,,,,,,,,,,,DODGE Durango,4.7,8.0,Auto-L5,2WD,Gasoline,SUV,7.0,14.0,19.0,15.0,3.0,no
,,,,,,,,,,,,,DODGE Durango,4.7,8.0,Auto-L5,4WD,Gasoline,SUV,7.0,13.0,17.0,15.0,3.0,no
,,,,,,,,,,,,,DODGE Durango,5.7,8.0,Auto-L5,2WD,Gasoline,SUV,6.0,13.0,19.0,15.0,3.0,no
,,,,,,,,,,,,,DODGE Durango,5.7,8.0,Auto-L5,4WD,Gasoline,SUV,6.0,13.0,18.0,15.0,3.0,no
,,,,,,,,,,,,,DODGE Magnum,3.5,6.0,Auto-L5,2WD,Gasoline,SUV,7.0,17.0,24.0,20.0,6.0,yes
,,,,,,,,,,,,,DODGE Magnum,3.5,6.0,Auto-L4,2WD,Gasoline,SUV,7.0,17.0,24.0,20.0,6.0,yes
,,,,,,,,,,,,,DODGE Magnum,3.5,6.0,Auto-L5,4WD,Gasoline,SUV,7.0,15.0,22.0,18.0,5.0,no
,,,,,,,,,,,,,DODGE Magnum,2.7,6.0,Auto-L4,2WD,Gasoline,SUV,6.0,18.0,26.0,21.0,6.0,no
,,,,,,,,,,,,,DODGE Magnum,6.1,8.0,Auto-L5,2WD,Gasoline,SUV,6.0,13.0,18.0,15.0,3.0,no
,,,,,,,,,,,,,DODGE Nitro,3.7,6.0,Auto-L4,2WD,Gasoline,SUV,7.0,16.0,22.0,18.0,5.0,no
,,,,,,,,,,,,,DODGE Nitro,3.7,6.0,Auto-L4,4WD,Gasoline,SUV,7.0,15.0,21.0,17.0,4.0,no
,,,,,,,,,,,,,DODGE Nitro,3.7,6.0,Auto-L4,2WD,Gasoline,SUV,6.0,16.0,22.0,18.0,5.0,no
,,,,,,,,,,,,,DODGE Nitro,3.7,6.0,Man-6,2WD,Gasoline,SUV,6.0,16.0,22.0,19.0,5.0,no
,,,,,,,,,,,,,DODGE Nitro,3.7,6.0,Auto-L4,4WD,Gasoline,SUV,6.0,15.0,21.0,17.0,4.0,no
,,,,,,,,,,,,,DODGE Nitro,3.7,6.0,Man-6,4WD,Gasoline,SUV,6.0,16.0,22.0,18.0,5.0,no
,,,,,,,,,,,,,DODGE Nitro,4.0,6.0,Auto-L5,2WD,Gasoline,SUV,6.0,16.0,21.0,18.0,5.0,no
,,,,,,,,,,,,,DODGE RAM 1500,3.7,6.0,Auto-L4,2WD,Gasoline,pickup,7.0,14.0,19.0,16.0,4.0,no
,,,,,,,,,,,,,DODGE RAM 1500,4.7,8.0,Auto-L5,2WD,Gasoline,pickup,7.0,13.0,18.0,15.0,3.0,no
,,,,,,,,,,,,,DODGE RAM 1500,4.7,8.0,Auto-L5,4WD,Gasoline,pickup,7.0,13.0,17.0,15.0,3.0,no
,,,,,,,,,,,,,DODGE RAM 1500,3.7,6.0,Auto-L4,2WD,Gasoline,pickup,6.0,14.0,19.0,16.0,4.0,no
,,,,,,,,,,,,,DODGE RAM 1500,3.7,6.0,Man-6,2WD,Gasoline,pickup,6.0,16.0,19.0,17.0,4.0,no
,,,,,,,,,,,,,DODGE RAM 1500,4.7,8.0,Man-6,2WD,Gasoline,pickup,6.0,13.0,17.0,14.0,2.0,no
,,,,,,,,,,,,,DODGE RAM 1500,4.7,8.0,Man-6,4WD,Gasoline,pickup,6.0,12.0,16.0,14.0,2.0,no
,,,,,,,,,,,,,DODGE RAM 1500,5.7,8.0,Auto-L5,2WD,Gasoline,pickup,6.0,13.0,19.0,15.0,3.0,no
,,,,,,,,,,,,,DODGE RAM 1500,5.7,8.0,Auto-L5,4WD,Gasoline,pickup,6.0,13.0,17.0,14.0,2.0,no
,,,,,,,,,,,,,DODGE Viper,8.4,10.0,Man-6,2WD,Gasoline,small car,6.0,13.0,22.0,16.0,4.0,no
,,,,,,,,,,,,,DODGE Viper Convertible,8.4,10.0,Man-6,2WD,Gasoline,small car,6.0,13.0,22.0,16.0,4.0,no
,,,,,,,,,,,,,FERRARI 599 GTB Fiorano,5.9,12.0,Auto-6,2WD,Gasoline,small car,6.0,11.0,15.0,12.0,0.0,no
,,,,,,,,,,,,,FERRARI 599 GTB Fiorano,5.9,12.0,Man-6,2WD,Gasoline,small car,6.0,11.0,15.0,12.0,0.0,no
,,,,,,,,,,,,,FERRARI 612 Scaglietti,5.7,12.0,Auto-6,2WD,Gasoline,midsize car,6.0,9.0,16.0,11.0,0.0,no
,,,,,,,,,,,,,FERRARI 612 Scaglietti,5.7,12.0,Man-6,2WD,Gasoline,midsize car,6.0,10.0,15.0,12.0,0.0,no
,,,,,,,,,,,,,FORD Edge,3.5,6.0,Auto-L6,2WD,Gasoline,SUV,7.0,16.0,24.0,19.0,5.0,no
,,,,,,,,,,,,,FORD Edge,3.5,6.0,Auto-L6,4WD,Gasoline,SUV,7.0,15.0,22.0,18.0,5.0,no
,,,,,,,,,,,,,FORD Escape,2.3,4.0,Man-5,2WD,Gasoline,SUV,7.0,22.0,28.0,24.0,7.0,yes
,,,,,,,,,,,,,FORD Escape,2.3,4.0,Auto-L4,2WD,Gasoline,SUV,6.0,20.0,26.0,22.0,6.0,no
,,,,,,,,,,,,,FORD Escape,2.3,4.0,Auto-L4,4WD,Gasoline,SUV,6.0,19.0,24.0,21.0,6.0,no
,,,,,,,,,,,,,FORD Escape,3.0,6.0,Auto-L4,2WD,Gasoline,SUV,6.0,18.0,24.0,20.0,6.0,no
,,,,,,,,,,,,,FORD Escape,3.0,6.0,Auto-L4,4WD,Gasoline,SUV,6.0,17.0,22.0,19.0,5.0,no
,,,,,,,,,,,,,FORD Escape Hybrid,2.3,4.0,Auto-AV,2WD,Gasoline,SUV,9.5,34.0,30.0,32.0,9.0,yes
,,,,,,,,,,,,,FORD Escape Hybrid,2.3,4.0,Auto-AV,4WD,Gasoline,SUV,9.5,29.0,27.0,28.0,8.0,yes
,,,,,,,,,,,,,FORD Expedition,5.4,8.0,Auto-L6,2WD,Gasoline,SUV,7.0,12.0,18.0,14.0,2.0,no
,,,,,,,,,,,,,FORD Explorer,4.0,6.0,Auto-L5,2WD,Gasoline,SUV,7.0,14.0,20.0,16.0,4.0,no
,,,,,,,,,,,,,FORD Explorer,4.0,6.0,Auto-L5,4WD,Gasoline,SUV,7.0,13.0,19.0,15.0,3.0,no
,,,,,,,,,,,,,FORD Explorer,4.6,8.0,Auto-L6,2WD,Gasoline,SUV,7.0,13.0,20.0,16.0,4.0,no
,,,,,,,,,,,,,FORD Explorer,4.6,8.0,Auto-L6,4WD,Gasoline,SUV,7.0,13.0,19.0,15.0,3.0,no
,,,,,,,,,,,,,FORD Explorer Sport Trac,4.0,6.0,Auto-L5,2WD,Gasoline,pickup,7.0,14.0,20.0,16.0,4.0,no
,,,,,,,,,,,,,FORD Explorer Sport Trac,4.0,6.0,Auto-L5,4WD,Gasoline,pickup,7.0,13.0,19.0,15.0,3.0,no
,,,,,,,,,,,,,FORD Explorer Sport Trac,4.6,8.0,Auto-L6,2WD,Gasoline,pickup,7.0,13.0,20.0,16.0,4.0,no
,,,,,,,,,,,,,FORD Explorer Sport Trac,4.6,8.0,Auto-L6,4WD,Gasoline,pickup,7.0,13.0,19.0,15.0,3.0,no
,,,,,,,,,,,,,FORD F150,5.4,8.0,Auto-L4,2WD,Gasoline,pickup,7.0,13.0,17.0,14.0,2.0,no
,,,,,,,,,,,,,FORD F150,5.4,8.0,Auto-L4,4WD,Gasoline,pickup,7.0,13.0,17.0,14.0,2.0,no
,,,,,,,,,,,,,FORD F150,4.2,6.0,Auto-L4,2WD,Gasoline,pickup,6.0,14.0,19.0,16.0,4.0,no
,,,,,,,,,,,,,FORD F150,4.2,6.0,Man-5,2WD,Gasoline,pickup,6.0,14.0,20.0,16.0,4.0,no
,,,,,,,,,,,,,FORD F150,4.6,8.0,Auto-L4,2WD,Gasoline,pickup,6.0,14.0,19.0,16.0,4.0,no
,,,,,,,,,,,,,FORD F150,4.6,8.0,Auto-L4,4WD,Gasoline,pickup,6.0,13.0,17.0,14.0,2.0,no
,,,,,,,,,,,,,FORD F150 STX SE,5.4,8.0,Auto-L4,2WD,Gasoline,pickup,7.0,14.0,19.0,15.0,3.0,no
,,,,,,,,,,,,,FORD Focus,2.0,4.0,Auto-L4,2WD,Gasoline,small car,9.5,24.0,33.0,28.0,8.0,yes
,,,,,,,,,,,,,FORD Focus,2.0,4.0,Man-5,2WD,Gasoline,small car,9.5,24.0,35.0,28.0,8.0,yes
,,,,,,,,,,,,,FORD Fusion,2.3,4.0,Auto-L5,2WD,Gasoline,midsize car,9.5,20.0,28.0,23.0,7.0,yes
,,,,,,,,,,,,,FORD Fusion,3.0,6.0,Auto-L6,4WD,Gasoline,midsize car,7.0,17.0,25.0,20.0,6.0,yes
,,,,,,,,,,,,,FORD Fusion,3.0,6.0,Auto-L6,2WD,Gasoline,midsize car,7.0,18.0,26.0,21.0,6.0,yes
,,,,,,,,,,,,,FORD Mustang,4.0,6.0,Auto-L5,2WD,Gasoline,small car,7.0,16.0,24.0,19.0,5.0,no
,,,,,,,,,,,,,FORD Mustang,4.0,6.0,Man-5,2WD,Gasoline,small car,7.0,17.0,26.0,20.0,6.0,yes
,,,,,,,,,,,,,FORD Mustang,4.6,8.0,Auto-L5,2WD,Gasoline,small car,7.0,15.0,22.0,18.0,5.0,no
,,,,,,,,,,,,,FORD Mustang,4.6,8.0,Man-5,2WD,Gasoline,small car,7.0,15.0,23.0,18.0,5.0,no
,,,,,,,,,,,,,FORD Mustang,4.6,8.0,Auto-L5,2WD,Gasoline,small car,6.0,15.0,22.0,18.0,5.0,no
,,,,,,,,,,,,,FORD Mustang,4.6,8.0,Man-5,2WD,Gasoline,small car,6.0,15.0,23.0,18.0,5.0,no
,,,,,,,,,,,,,FORD Mustang,5.4,8.0,Man-6,2WD,Gasoline,small car,6.0,14.0,20.0,16.0,4.0,no
,,,,,,,,,,,,,FORD Ranger,2.3,4.0,Auto-L5,2WD,Gasoline,pickup,7.0,19.0,24.0,21.0,6.0,yes
,,,,,,,,,,,,,FORD Ranger,2.3,4.0,Man-5,2WD,Gasoline,pickup,7.0,21.0,26.0,23.0,7.0,yes
,,,,,,,,,,,,,FORD Ranger,3.0,6.0,Auto-L5,2WD,Gasoline,pickup,7.0,15.0,20.0,17.0,4.0,no
,,,,,,,,,,,,,FORD Ranger,3.0,6.0,Man-5,2WD,Gasoline,pickup,7.0,16.0,22.0,18.0,5.0,no
,,,,,,,,,,,,,FORD Ranger,3.0,6.0,Auto-L5,4WD,Gasoline,pickup,7.0,14.0,19.0,16.0,4.0,no
,,,,,,,,,,,,,FORD Ranger,3.0,6.0,Man-5,4WD,Gasoline,pickup,7.0,15.0,20.0,17.0,4.0,no
,,,,,,,,,,,,,FORD Ranger,4.0,6.0,Man-5,2WD,Gasoline,pickup,6.0,15.0,20.0,17.0,4.0,no
,,,,,,,,,,,,,FORD Ranger,4.0,6.0,Auto-L5,2WD,Gasoline,pickup,6.0,15.0,20.0,17.0,4.0,no
,,,,,,,,,,,,,FORD Ranger,4.0,6.0,Auto-L5,4WD,Gasoline,pickup,6.0,14.0,17.0,15.0,3.0,no
,,,,,,,,,,,,,FORD Ranger,4.0,6.0,Man-5,4WD,Gasoline,pickup,6.0,15.0,19.0,16.0,4.0,no
,,,,,,,,,,,,,FORD Taurus,3.5,6.0,Auto-L6,4WD,Gasoline,large car,9.5,17.0,24.0,19.0,5.0,no
,,,,,,,,,,,,,FORD Taurus,3.5,6.0,Auto-L6,2WD,Gasoline,large car,9.5,18.0,28.0,22.0,6.0,yes
,,,,,,,,,,,,,FORD Taurus X,3.5,6.0,Auto-L6,2WD,Gasoline,SUV,9.5,16.0,24.0,19.0,5.0,no
,,,,,,,,,,,,,FORD Taurus X,3.5,6.0,Auto-L6,4WD,Gasoline,SUV,9.5,15.0,22.0,18.0,5.0,no
,,,,,,,,,,,,,GMC Acadia,3.6,6.0,Auto-L6,2WD,Gasoline,SUV,6.0,16.0,24.0,19.0,5.0,no
,,,,,,,,,,,,,GMC Acadia,3.6,6.0,Auto-L6,4WD,Gasoline,SUV,6.0,16.0,22.0,18.0,5.0,no
,,,,,,,,,,,,,GMC Envoy,5.3,8.0,Auto-L4,2WD,Gasoline,SUV,6.0,14.0,20.0,17.0,4.0,no
,,,,,,,,,,,,,GMC Envoy,5.3,8.0,Auto-L4,4WD,Gasoline,SUV,6.0,13.0,19.0,16.0,4.0,no
,,,,,,,,,,,,,GMC Savana 1500,4.3,6.0,Auto-L4,2WD,Gasoline,van,6.0,15.0,20.0,17.0,4.0,no
,,,,,,,,,,,,,GMC Savana 1500,5.3,8.0,Auto-L4,4WD,Gasoline,van,6.0,12.0,16.0,14.0,2.0,no
,,,,,,,,,,,,,GMC Savana 1500,5.3,8.0,Auto-L4,2WD,Gasoline,van,6.0,12.0,16.0,14.0,2.0,no
,,,,,,,,,,,,,GMC Savana 1500,5.3,8.0,Auto-L4,4WD,Gasoline,van,6.0,13.0,17.0,15.0,3.0,no
,,,,,,,,,,,,,GMC Savana 1500,5.3,8.0,Auto-L4,2WD,Gasoline,van,6.0,14.0,18.0,15.0,3.0,no
,,,,,,,,,,,,,GMC Savana 2500,4.3,6.0,Auto-L4,2WD,Gasoline,van,6.0,15.0,20.0,17.0,4.0,no
,,,,,,,,,,,,,GMC Savana 2500,5.3,8.0,Auto-L4,2WD,Gasoline,van,6.0,12.0,16.0,14.0,2.0,no
,,,,,,,,,,,,,GMC Savana 2500,5.3,8.0,Auto-L4,4WD,Gasoline,van,6.0,13.0,17.0,15.0,3.0,no
,,,,,,,,,,,,,GMC Savana 2500,5.3,8.0,Auto-L4,2WD,Gasoline,van,6.0,14.0,18.0,15.0,3.0,no
,,,,,,,,,,,,,GMC Sierra 15,4.3,6.0,Auto-L4,2WD,Gasoline,pickup,6.0,15.0,20.0,17.0,4.0,no
,,,,,,,,,,,,,GMC Sierra 15,4.3,6.0,Auto-L4,4WD,Gasoline,pickup,6.0,14.0,18.0,15.0,3.0,no
,,,,,,,,,,,,,GMC Sierra 15,6.0,8.0,Auto-L4,2WD,Gasoline,pickup,6.0,13.0,18.0,15.0,3.0,no
,,,,,,,,,,,,,GMC Sierra 15,6.2,8.0,Auto-L6,2WD,Gasoline,pickup,6.0,12.0,19.0,15.0,3.0,no
,,,,,,,,,,,,,GMC Sierra 15,6.2,8.0,Auto-L6,4WD,Gasoline,pickup,6.0,12.0,18.0,14.0,2.0,no
,,,,,,,,,,,,,GMC Yukon 1500,6.0,8.0,Auto-L4,2WD,Gasoline,SUV,6.0,12.0,17.0,14.0,2.0,no
,,,,,,,,,,,,,GMC Yukon 1500,6.2,8.0,Auto-L6,2WD,Gasoline,SUV,6.0,12.0,19.0,14.0,2.0,no
,,,,,,,,,,,,,GMC Yukon 1500,6.2,8.0,Auto-L6,4WD,Gasoline,SUV,6.0,12.0,18.0,14.0,2.0,no
,,,,,,,,,,,,,GMC Yukon 1500 Hybrid,6.0,8.0,Auto-AV,2WD,Gasoline,SUV,6.0,21.0,22.0,21.0,6.0,no
,,,,,,,,,,,,,GMC Yukon 1500 Hybrid,6.0,8.0,Auto-AV,4WD,Gasoline,SUV,6.0,20.0,20.0,20.0,6.0,no
,,,,,,,,,,,,,HONDA Accord,2.4,4.0,Auto-L5,2WD,Gasoline,large car,9.5,21.0,31.0,24.0,7.0,yes
,,,,,,,,,,,,,HONDA Accord,2.4,4.0,Auto-L5,2WD,Gasoline,small car,9.5,21.0,30.0,24.0,7.0,yes
,,,,,,,,,,,,,HONDA Accord,3.5,6.0,Auto-L5,2WD,Gasoline,large car,9.5,19.0,29.0,22.0,6.0,yes
,,,,,,,,,,,,,HONDA Accord,3.5,6.0,Auto-L5,2WD,Gasoline,small car,9.5,19.0,28.0,22.0,6.0,yes
,,,,,,,,,,,,,HONDA Accord,2.4,4.0,Auto-L5,2WD,Gasoline,large car,7.0,21.0,31.0,24.0,7.0,yes
,,,,,,,,,,,,,HONDA Accord,2.4,4.0,Man-5,2WD,Gasoline,large car,7.0,22.0,31.0,25.0,7.0,yes
,,,,,,,,,,,,,HONDA Accord,2.4,4.0,Auto-L5,2WD,Gasoline,small car,7.0,21.0,30.0,24.0,7.0,yes
,,,,,,,,,,,,,HONDA Accord,2.4,4.0,Man-5,2WD,Gasoline,small car,7.0,22.0,31.0,25.0,7.0,yes
,,,,,,,,,,,,,HONDA Accord,3.5,6.0,Auto-L5,2WD,Gasoline,large car,7.0,19.0,29.0,22.0,6.0,yes
,,,,,,,,,,,,,HONDA Accord,3.5,6.0,Man-6,2WD,Gasoline,small car,7.0,17.0,25.0,20.0,6.0,yes
,,,,,,,,,,,,,HONDA Accord,3.5,6.0,Auto-L5,2WD,Gasoline,small car,7.0,19.0,28.0,22.0,6.0,yes
,,,,,,,,,,,,,HONDA CR-V,2.4,4.0,Auto-L5,2WD,Gasoline,SUV,7.0,20.0,27.0,23.0,7.0,yes
,,,,,,,,,,,,,HONDA CR-V,2.4,4.0,Auto-L5,4WD,Gasoline,SUV,7.0,20.0,26.0,22.0,6.0,yes
,,,,,,,,,,,,,HONDA Civic,1.8,4.0,Auto-L5,2WD,CNG,small car,9.5,24.0,36.0,28.0,9.0,yes
,,,,,,,,,,,,,HONDA Civic,1.8,4.0,Auto-L5,2WD,Gasoline,small car,7.0,25.0,36.0,29.0,8.0,yes
,,,,,,,,,,,,,HONDA Civic,1.8,4.0,Man-5,2WD,Gasoline,small car,7.0,26.0,34.0,29.0,8.0,yes
,,,,,,,,,,,,,HONDA Civic,2.0,4.0,Man-6,2WD,Gasoline,small car,6.0,21.0,29.0,24.0,7.0,yes
,,,,,,,,,,,,,HONDA Civic Hybrid,1.3,4.0,Auto-AV,2WD,Gasoline,small car,9.5,40.0,45.0,42.0,10.0,yes
,,,,,,,,,,,,,HONDA Element,2.4,4.0,Man-5,2WD,Gasoline,SUV,6.0,18.0,23.0,20.0,6.0,no
,,,,,,,,,,,,,HONDA Element,2.4,4.0,Auto-L5,2WD,Gasoline,SUV,6.0,20.0,25.0,22.0,6.0,no
,,,,,,,,,,,,,HONDA Element,2.4,4.0,Man-5,4WD,Gasoline,SUV,6.0,18.0,23.0,20.0,6.0,no
,,,,,,,,,,,,,HONDA Element,2.4,4.0,Auto-L5,4WD,Gasoline,SUV,6.0,19.0,24.0,21.0,6.0,no
,,,,,,,,,,,,,HONDA Fit,1.5,4.0,Auto-S5,2WD,Gasoline,station wagon,6.0,27.0,33.0,29.0,8.0,yes
,,,,,,,,,,,,,HONDA Fit,1.5,4.0,Auto-L5,2WD,Gasoline,station wagon,6.0,27.0,34.0,30.0,8.0,yes
,,,,,,,,,,,,,HONDA Fit,1.5,4.0,Man-5,2WD,Gasoline,station wagon,6.0,28.0,34.0,31.0,9.0,yes
,,,,,,,,,,,,,HONDA Odyssey,3.5,6.0,Auto-L5,2WD,Gasoline,minivan,7.0,16.0,23.0,18.0,5.0,no
,,,,,,,,,,,,,HONDA Odyssey,3.5,6.0,Auto-L5,2WD,Gasoline,minivan,7.0,17.0,25.0,20.0,6.0,no
,,,,,,,,,,,,,HONDA Pilot,3.5,6.0,Auto-L5,2WD,Gasoline,SUV,7.0,16.0,22.0,18.0,5.0,no
,,,,,,,,,,,,,HONDA Pilot,3.5,6.0,Auto-L5,4WD,Gasoline,SUV,7.0,15.0,20.0,17.0,4.0,no
,,,,,,,,,,,,,HONDA Ridgeline,3.5,6.0,Auto-L5,4WD,Gasoline,pickup,7.0,15.0,20.0,17.0,4.0,no
,,,,,,,,,,,,,HONDA S2000,2.2,4.0,Man-6,2WD,Gasoline,small car,6.0,18.0,25.0,21.0,6.0,no
,,,,,,,,,,,,,HUMMER H3,3.7,5.0,Man-5,4WD,Gasoline,SUV,6.0,13.0,18.0,15.0,3.0,no
,,,,,,,,,,,,,HUMMER H3,3.7,5.0,Auto-L4,4WD,Gasoline,SUV,6.0,14.0,18.0,15.0,3.0,no
,,,,,,,,,,,,,HYUNDAI Accent,1.6,4.0,Auto-L4,2WD,Gasoline,small car,7.0,24.0,33.0,28.0,8.0,yes
,,,,,,,,,,,,,HYUNDAI Accent,1.6,4.0,Man-5,2WD,Gasoline,small car,7.0,27.0,32.0,29.0,8.0,yes
,,,,,,,,,,,,,HYUNDAI Azera,3.3,6.0,Auto-L5,2WD,Gasoline,large car,7.0,18.0,26.0,21.0,6.0,yes
,,,,,,,,,,,,,HYUNDAI Azera,3.8,6.0,Auto-L5,2WD,Gasoline,large car,7.0,17.0,26.0,20.0,6.0,yes
,,,,,,,,,,,,,HYUNDAI Elantra,2.0,4.0,Auto-L4,2WD,Gasoline,midsize car,9.5,25.0,33.0,28.0,8.0,yes
,,,,,,,,,,,,,HYUNDAI Elantra,2.0,4.0,Man-5,2WD,Gasoline,midsize car,7.0,24.0,33.0,27.0,8.0,yes
,,,,,,,,,,,,,HYUNDAI Elantra,2.0,4.0,Auto-L4,2WD,Gasoline,midsize car,7.0,25.0,33.0,28.0,8.0,yes
,,,,,,,,,,,,,HYUNDAI Entourage,3.8,6.0,Auto-L5,2WD,Gasoline,minivan,7.0,16.0,23.0,18.0,5.0,no
,,,,,,,,,,,,,HYUNDAI Santa Fe,2.7,6.0,Man-5,2WD,Gasoline,SUV,7.0,17.0,24.0,20.0,6.0,yes
,,,,,,,,,,,,,HYUNDAI Santa Fe,2.7,6.0,Auto-L4,2WD,Gasoline,SUV,7.0,18.0,24.0,20.0,6.0,yes
,,,,,,,,,,,,,HYUNDAI Santa Fe,2.7,6.0,Auto-L4,4WD,Gasoline,SUV,7.0,17.0,23.0,19.0,5.0,no
,,,,,,,,,,,,,HYUNDAI Santa Fe,2.7,6.0,Man-5,4WD,Gasoline,SUV,7.0,17.0,23.0,19.0,5.0,no
,,,,,,,,,,,,,HYUNDAI Santa Fe,3.3,6.0,Auto-L5,2WD,Gasoline,SUV,7.0,17.0,24.0,20.0,6.0,yes
,,,,,,,,,,,,,HYUNDAI Santa Fe,3.3,6.0,Auto-L5,4WD,Gasoline,SUV,7.0,17.0,24.0,19.0,5.0,no
,,,,,,,,,,,,,HYUNDAI Sonata,2.4,4.0,Auto-L4,2WD,Gasoline,large car,7.0,21.0,30.0,24.0,7.0,yes
,,,,,,,,,,,,,HYUNDAI Sonata,2.4,4.0,Man-5,2WD,Gasoline,large car,7.0,21.0,31.0,25.0,7.0,yes
,,,,,,,,,,,,,HYUNDAI Sonata,3.3,6.0,Auto-L5,2WD,Gasoline,large car,7.0,19.0,28.0,22.0,6.0,yes
,,,,,,,,,,,,,HYUNDAI Tiburon,2.0,4.0,Auto-L4,2WD,Gasoline,small car,7.0,20.0,27.0,22.0,6.0,yes
,,,,,,,,,,,,,HYUNDAI Tiburon,2.0,4.0,Man-5,2WD,Gasoline,small car,7.0,20.0,28.0,23.0,7.0,yes
,,,,,,,,,,,,,HYUNDAI Tiburon,2.7,6.0,Man-6,2WD,Gasoline,small car,6.0,16.0,24.0,19.0,5.0,no
,,,,,,,,,,,,,HYUNDAI Tiburon,2.7,6.0,Auto-L4,2WD,Gasoline,small car,6.0,17.0,24.0,20.0,6.0,no
,,,,,,,,,,,,,HYUNDAI Tiburon,2.7,6.0,Man-5,2WD,Gasoline,small car,6.0,17.0,24.0,20.0,6.0,no
,,,,,,,,,,,,,HYUNDAI Tucson,2.0,4.0,Auto-L4,2WD,Gasoline,SUV,7.0,19.0,25.0,22.0,6.0,yes
,,,,,,,,,,,,,HYUNDAI Tucson,2.0,4.0,Man-5,2WD,Gasoline,SUV,7.0,20.0,25.0,22.0,6.0,yes
,,,,,,,,,,,,,HYUNDAI Tucson,2.0,4.0,Man-5,4WD,Gasoline,SUV,7.0,19.0,24.0,21.0,6.0,yes
,,,,,,,,,,,,,HYUNDAI Tucson,2.7,6.0,Auto-L4,2WD,Gasoline,SUV,6.0,18.0,24.0,20.0,6.0,no
,,,,,,,,,,,,,HYUNDAI Tucson,2.7,6.0,Auto-L4,4WD,Gasoline,SUV,6.0,17.0,23.0,19.0,5.0,no
,,,,,,,,,,,,,HYUNDAI Veracruz,3.8,6.0,Auto-L6,2WD,Gasoline,SUV,6.0,16.0,23.0,18.0,5.0,no
,,,,,,,,,,,,,HYUNDAI Veracruz,3.8,6.0,Auto-L6,4WD,Gasoline,SUV,6.0,15.0,22.0,18.0,5.0,no
,,,,,,,,,,,,,INFINITI FX35,3.5,6.0,Auto-S5,2WD,Gasoline,SUV,6.0,15.0,22.0,18.0,5.0,no
,,,,,,,,,,,,,INFINITI FX35,3.5,6.0,Auto-S5,4WD,Gasoline,SUV,6.0,15.0,20.0,17.0,4.0,no
,,,,,,,,,,,,,INFINITI FX45,4.5,8.0,Auto-S5,4WD,Gasoline,SUV,6.0,13.0,17.0,14.0,2.0,no
,,,,,,,,,,,,,INFINITI G35,3.5,6.0,Auto-S5,2WD,Gasoline,midsize car,7.0,17.0,24.0,20.0,6.0,yes
