model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,model_2008,displ_2008,cyl_2008,trans_2008,drive_2008,fuel_2008,veh_class_2008,air_pollut_2008,city_mpg_2008,hwy_mpg_2008,cmb_mpg_2008,greenhouse_2008,smartway_2008
MINI Cooper SE Countryman All4,1.5,3.0,SemiAuto-6,4WD,Electricity,midsize car,3.0,63.0,66.0,65.0,9.0,Yes,,,,,,,,,,,,,
TOYOTA Sequoia FFV,5.7,8.0,SemiAuto-6,4WD,Gas,standard SUV,5.0,13.0,17.0,14.0,1.0,No,,,,,,,,,,,,,
TOYOTA Tundra FFV,5.7,8.0,SemiAuto-6,4WD,Gas,pickup,5.0,13.0,17.0,15.0,2.0,No,,,,,,,,,,,,,
VOLVO S90,2.0,4.0,SemiAuto-8,4WD,Electricity,midsize car,7.0,70.0,72.0,71.0,10.0,Elite,,,,,,,,,,,,,
VOLVO XC 60,2.0,4.0,SemiAuto-8,4WD,Electricity,small SUV,7.0,60.0,58.0,59.0,10.0,Elite,,,,,,,,,,,,,
VOLVO XC 90,2.0,4.0,SemiAuto-8,4WD,Electricity,standard SUV,7.0,63.0,61.0,62.0,10.0,Elite,,,,,,,,,,,,,
,,,,,,,,,,,,,ACURA MDX,3.7,6.0,Auto-S5,4WD,Gasoline,SUV,7.0,15.0,20.0,17.0,4.0,no
,,,,,,,,,,,,,ACURA RDX,2.3,4.0,Auto-S5,4WD,Gasoline,SUV,7.0,17.0,22.0,19.0,5.0,no
,,,,,,,,,,,,,ACURA RL,3.5,6.0,Auto-S5,4WD,Gasoline,midsize car,7.0,16.0,24.0,19.0,5.0,no
,,,,,,,,,,,,,ACURA TL,3.2,6.0,Auto-S5,2WD,Gasoline,midsize car,7.0,18.0,26.0,21.0,6.0,yes
,,,,,,,,,,,,,ACURA TL,3.5,6.0,Auto-S5,2WD,Gasoline,midsize car,7.0,17.0,26.0,20.0,6.0,yes
,,,,,,,,,,,,,ACURA TL,3.5,6.0,Man-6,2WD,Gasoline,midsize car,7.0,18.0,27.0,21.0,6.0,yes
,,,,,,,,,,,,,ACURA TSX,2.4,4.0,Man-6,2WD,Gasoline,small car,6.0,19.0,28.0,22.0,6.0,no
,,,,,,,,,,,,,ACURA TSX,2.4,4.0,Auto-S5,2WD,Gasoline,small car,6.0,20.0,28.0,23.0,7.0,yes
,,,,,,,,,,,,,ASTON MARTIN DB9,5.9,12.0,Man-6,2WD,Gasoline,small car,6.0,10.0,16.0,12.0,0.0,no
,,,,,,,,,,,,,ASTON MARTIN DB9,5.9,12.0,Auto-S6,2WD,Gasoline,small car,6.0,11.0,18.0,13.0,1.0,no
,,,,,,,,,,,,,ASTON MARTIN DB9 Volante,5.9,12.0,Man-6,2WD,Gasoline,small car,6.0,10.0,16.0,12.0,0.0,no
,,,,,,,,,,,,,ASTON MARTIN DB9 Volante,5.9,12.0,Auto-S6,2WD,Gasoline,small car,6.0,11.0,17.0,13.0,1.0,no
,,,,,,,,,,,,,ASTON MARTIN V8 Vantage,4.3,8.0,Man-6,2WD,Gasoline,small car,6.0,12.0,19.0,15.0,3.0,no
